,userAcceleration.mag
0,0.821049289157478
1,0.6984931559041935
2,0.4074357785099389
3,0.9395768312139247
4,0.6718346979942312
5,0.543625264291497
6,0.6075437608485498
7,0.4341856230162395
8,0.720554840119057
9,0.5302794586262983
10,0.8847620609011216
11,1.1222729543395404
12,0.762719796707808
13,0.2668517211299189
14,0.3249904464903546
15,0.268110515131354
16,0.3922827564627331
17,0.37461878898554996
18,0.3292687586486152
19,0.45883028725771796
20,0.5263256966565474
21,0.37191238503308816
22,0.2293143068214453
23,0.25021353203613905
24,0.38354322853884404
25,0.5124769396128962
26,0.5767065183678783
27,0.5805640951195656
28,0.9005489225716725
29,1.0213345470182629
30,0.7450920536886702
31,0.28245756102466074
32,0.04263501212618568
33,0.1734958014304669
34,0.3106247548071467
35,0.5118880691186306
36,0.5646355858728707
37,0.5899512995705662
38,0.31182618397594514
39,0.1653262803095745
40,0.541419725517089
41,0.28649361566708603
42,0.34324240743095835
43,0.3510937064502866
44,0.3761748290502702
45,0.5509099258218171
46,0.5716874931603805
47,0.5939257117291691
48,0.30399557583293874
49,0.7884540454522382
50,0.5875726823032194
51,0.435825862215633
52,0.4445920306629439
53,0.7948930908071852
54,0.32027332347699516
55,0.3032017352094147
56,0.3389669560827427
57,0.3812459304727067
58,0.33998551205014604
59,0.3081526375856614
60,0.395667335227461
61,0.28828425991198336
62,0.32673480437963753
63,0.38328549240872656
64,0.5177941146787978
65,0.48119567561336213
66,0.31923268322181536
67,0.43682579273779154
68,0.7072961321158203
69,0.9635187274459174
70,0.6121049513261594
71,0.3755951413690012
72,0.1688429008664563
73,0.2912242106333194
74,0.21387956694130464
75,0.4723530266040432
76,0.679268505883351
77,0.7034797231569649
78,0.5446985718606208
79,0.3151180416954891
80,0.27704858450820496
81,0.4780480933849646
82,0.7385430270092597
83,0.425122127211699
84,0.4925815501924528
85,0.6196234999400846
86,0.4282290233286389
87,0.6397055253169226
88,0.31504993636088857
89,1.3411794917429956
90,1.0284836521462069
91,0.8166446482754908
92,0.44247022369985534
93,0.27040595064827994
94,0.11599863537128358
95,0.16142177620445142
96,0.26768795198887824
97,0.41864661429300964
98,0.4397850910456151
99,0.5070264926756787
100,0.4927888161119325
101,0.3966511590680153
102,0.3366369038623068
103,0.651208603547281
104,0.4782674401974276
105,0.5132187096609008
106,0.5960520587306111
107,0.5622402774143808
108,0.5520479857693532
109,0.500693568181178
